date,name,year,letterboxd,rating,tv,director
2014-11-17,Spanish Affair,2014,https://letterboxd.com/film/spanish-affair-2014/,3,,
2014-11-15,The Blues Brothers,1980,https://letterboxd.com/film/the-blues-brothers/,4,,
2014-11-15,Divergent,2014,https://letterboxd.com/film/divergent/,2,,
2014-11-15,"Aguirre, the Wrath of God",1972,https://letterboxd.com/film/aguirre-the-wrath-of-god/,4,,
2014-11-12,Edge of Tomorrow,2014,https://letterboxd.com/film/edge-of-tomorrow/,4,,
2014-11-11,What If,2013,https://letterboxd.com/film/what-if-2013/,2.5,,
2014-11-11,Guardians of the Galaxy,2014,https://letterboxd.com/film/guardians-of-the-galaxy/,3,,
2014-11-10,Scott Pilgrim vs. the World,2010,https://letterboxd.com/film/scott-pilgrim-vs-the-world/,3.5,,
2014-11-04,In Bruges,2008,https://letterboxd.com/film/in-bruges/,3.5,,
2014-11-01,Let's Be Cops,2014,https://letterboxd.com/film/lets-be-cops/,2,,
2014-10-16,Sex Tape,2014,https://letterboxd.com/film/sex-tape/,1.5,,
2014-10-16,22 Jump Street,2014,https://letterboxd.com/film/22-jump-street/,2,,
2014-09-27,Sexmission,1984,https://letterboxd.com/film/sexmission/,3,,
2014-09-25,Stalker,1979,https://letterboxd.com/film/stalker/,4.5,,Andrei Tarkovsky
2014-09-23,Y Tu Mamá También,2001,https://letterboxd.com/film/y-tu-mama-tambien/,3.5,,
2014-09-23,Klown,2010,https://letterboxd.com/film/klown/,2.5,,
2014-09-12,Thor,2011,https://letterboxd.com/film/thor/,3,,
2014-09-12,Thor: The Dark World,2013,https://letterboxd.com/film/thor-the-dark-world/,2.5,,
2014-09-11,A Million Ways to Die in the West,2014,https://letterboxd.com/film/a-million-ways-to-die-in-the-west/,2,,
2014-09-08,Take This Waltz,2011,https://letterboxd.com/film/take-this-waltz/,2,,
2014-08-24,The Fault in Our Stars,2014,https://letterboxd.com/film/the-fault-in-our-stars/,3,,
2014-08-18,Persona,1966,https://letterboxd.com/film/persona/,4,,
2014-08-17,M,1931,https://letterboxd.com/film/m/,4.5,,Fritz Lang
2014-08-17,Chinatown,1974,https://letterboxd.com/film/chinatown/,4,,
2014-08-17,Boyhood,2014,https://letterboxd.com/film/boyhood/,3,,
2014-08-12,Citizen Kane,1941,https://letterboxd.com/film/citizen-kane/,4,,
2014-08-10,Gran Torino,2008,https://letterboxd.com/film/gran-torino/,3.5,,
2014-08-08,The Pianist,2002,https://letterboxd.com/film/the-pianist/,3.5,,
2014-08-08,World War Z,2013,https://letterboxd.com/film/world-war-z/,3,,
2014-08-06,Lars and the Real Girl,2007,https://letterboxd.com/film/lars-and-the-real-girl/,3,,
2014-08-03,The Double,2013,https://letterboxd.com/film/the-double-2013/,3.5,,
2014-07-26,Garden State,2004,https://letterboxd.com/film/garden-state/,3,,
